id,codigo_parametro,parametro_sensores_id,nombre_parametro,fecha_dato,valor_numero
789453,18001,1,Temperatura,1/1/2024 0:03,23.7
789454,18036,13,Humedad,1/1/2024 0:03,86.5
789465,18054,17,Radiacion solar,1/1/2024 0:04,0
789470,18036,13,Humedad,1/1/2024 0:18,86.7
789469,18001,1,Temperatura,1/1/2024 0:18,23.7
789481,18054,17,Radiacion solar,1/1/2024 0:19,0
789485,18001,1,Temperatura,1/1/2024 0:33,23.7
789486,18036,13,Humedad,1/1/2024 0:33,86.9
789497,18054,17,Radiacion solar,1/1/2024 0:34,0
789502,18036,13,Humedad,1/1/2024 0:48,86.4
789501,18001,1,Temperatura,1/1/2024 0:48,23.7
789513,18054,17,Radiacion solar,1/1/2024 0:49,0
789517,18001,1,Temperatura,1/1/2024 1:03,23.8
789518,18036,13,Humedad,1/1/2024 1:03,85.3
789529,18054,17,Radiacion solar,1/1/2024 1:04,0
789533,18001,1,Temperatura,1/1/2024 1:18,23.8
789534,18036,13,Humedad,1/1/2024 1:18,85.5
789545,18054,17,Radiacion solar,1/1/2024 1:19,0
789549,18001,1,Temperatura,1/1/2024 1:33,23.7
789550,18036,13,Humedad,1/1/2024 1:33,85.5
789561,18054,17,Radiacion solar,1/1/2024 1:34,0
789565,18001,1,Temperatura,1/1/2024 1:48,23.9
789566,18036,13,Humedad,1/1/2024 1:48,84.9
789577,18054,17,Radiacion solar,1/1/2024 1:49,0
789581,18001,1,Temperatura,1/1/2024 2:03,23.9
789582,18036,13,Humedad,1/1/2024 2:03,84.8
789593,18054,17,Radiacion solar,1/1/2024 2:04,0
789597,18001,1,Temperatura,1/1/2024 2:19,23.9
789598,18036,13,Humedad,1/1/2024 2:19,84.7
789609,18054,17,Radiacion solar,1/1/2024 2:19,0
789613,18001,1,Temperatura,1/1/2024 2:33,24
789614,18036,13,Humedad,1/1/2024 2:33,84.7
789625,18054,17,Radiacion solar,1/1/2024 2:34,0
789629,18001,1,Temperatura,1/1/2024 2:48,23.9
789630,18036,13,Humedad,1/1/2024 2:48,85.1
789641,18054,17,Radiacion solar,1/1/2024 2:49,0
789645,18001,1,Temperatura,1/1/2024 3:03,23.8
789646,18036,13,Humedad,1/1/2024 3:03,85.6
789657,18054,17,Radiacion solar,1/1/2024 3:04,0
789661,18001,1,Temperatura,1/1/2024 3:18,23.8
789662,18036,13,Humedad,1/1/2024 3:18,85.8
789673,18054,17,Radiacion solar,1/1/2024 3:19,0
789677,18001,1,Temperatura,1/1/2024 3:33,23.8
789678,18036,13,Humedad,1/1/2024 3:33,85.9
789689,18054,17,Radiacion solar,1/1/2024 3:34,0
789693,18001,1,Temperatura,1/1/2024 3:48,23.9
789694,18036,13,Humedad,1/1/2024 3:48,86.1
789705,18054,17,Radiacion solar,1/1/2024 3:49,0
789709,18001,1,Temperatura,1/1/2024 4:03,23.9
789710,18036,13,Humedad,1/1/2024 4:03,86.2
789721,18054,17,Radiacion solar,1/1/2024 4:04,0
789725,18001,1,Temperatura,1/1/2024 4:18,23.9
789726,18036,13,Humedad,1/1/2024 4:18,86.2
789737,18054,17,Radiacion solar,1/1/2024 4:19,0
789741,18001,1,Temperatura,1/1/2024 4:33,23.9
789742,18036,13,Humedad,1/1/2024 4:33,86.1
789753,18054,17,Radiacion solar,1/1/2024 4:34,0
789757,18001,1,Temperatura,1/1/2024 4:48,23.9
789758,18036,13,Humedad,1/1/2024 4:48,85.4
789769,18054,17,Radiacion solar,1/1/2024 4:49,0
789773,18001,1,Temperatura,1/1/2024 5:03,24
789774,18036,13,Humedad,1/1/2024 5:03,85.1
789785,18054,17,Radiacion solar,1/1/2024 5:04,0
789789,18001,1,Temperatura,1/1/2024 5:18,24
789790,18036,13,Humedad,1/1/2024 5:18,85.1
789801,18054,17,Radiacion solar,1/1/2024 5:19,0
789805,18001,1,Temperatura,1/1/2024 5:33,24
789806,18036,13,Humedad,1/1/2024 5:33,85.4
789817,18054,17,Radiacion solar,1/1/2024 5:34,0
789821,18001,1,Temperatura,1/1/2024 5:48,23.9
789822,18036,13,Humedad,1/1/2024 5:48,85.2
789833,18054,17,Radiacion solar,1/1/2024 5:49,0
789837,18001,1,Temperatura,1/1/2024 6:03,24
789838,18036,13,Humedad,1/1/2024 6:03,85
789849,18054,17,Radiacion solar,1/1/2024 6:04,0
789853,18001,1,Temperatura,1/1/2024 6:19,24
789854,18036,13,Humedad,1/1/2024 6:19,84.8
789865,18054,17,Radiacion solar,1/1/2024 6:19,0
789869,18001,1,Temperatura,1/1/2024 6:33,24
789870,18036,13,Humedad,1/1/2024 6:33,84.7
789881,18054,17,Radiacion solar,1/1/2024 6:34,5
789885,18001,1,Temperatura,1/1/2024 6:48,23.9
789886,18036,13,Humedad,1/1/2024 6:48,85.5
789897,18054,17,Radiacion solar,1/1/2024 6:49,18
789901,18001,1,Temperatura,1/1/2024 7:03,23.9
789902,18036,13,Humedad,1/1/2024 7:03,86
789913,18054,17,Radiacion solar,1/1/2024 7:04,31
789918,18036,13,Humedad,1/1/2024 7:18,86
789917,18001,1,Temperatura,1/1/2024 7:18,23.9
789929,18054,17,Radiacion solar,1/1/2024 7:19,53
789934,18036,13,Humedad,1/1/2024 7:33,85.4
789933,18001,1,Temperatura,1/1/2024 7:33,24.1
789945,18054,17,Radiacion solar,1/1/2024 7:34,82
789950,18036,13,Humedad,1/1/2024 7:48,84.7
789949,18001,1,Temperatura,1/1/2024 7:48,24.3
789961,18054,17,Radiacion solar,1/1/2024 7:49,79
789965,18001,1,Temperatura,1/1/2024 8:03,24.6
789966,18036,13,Humedad,1/1/2024 8:03,84.1
789977,18054,17,Radiacion solar,1/1/2024 8:04,113
789981,18001,1,Temperatura,1/1/2024 8:18,24.7
789982,18036,13,Humedad,1/1/2024 8:18,83.8
789993,18054,17,Radiacion solar,1/1/2024 8:19,122
789997,18001,1,Temperatura,1/1/2024 8:33,24.9
789998,18036,13,Humedad,1/1/2024 8:33,83.2
790009,18054,17,Radiacion solar,1/1/2024 8:34,125
790013,18001,1,Temperatura,1/1/2024 8:48,25
790014,18036,13,Humedad,1/1/2024 8:48,83.1
790025,18054,17,Radiacion solar,1/1/2024 8:49,154
790029,18001,1,Temperatura,1/1/2024 9:03,25.2
790030,18036,13,Humedad,1/1/2024 9:03,82.7
790041,18054,17,Radiacion solar,1/1/2024 9:04,219
790046,18036,13,Humedad,1/1/2024 9:18,82.5
790045,18001,1,Temperatura,1/1/2024 9:18,25.5
790057,18054,17,Radiacion solar,1/1/2024 9:19,450
790061,18001,1,Temperatura,1/1/2024 9:33,25.9
790062,18036,13,Humedad,1/1/2024 9:33,81
790073,18054,17,Radiacion solar,1/1/2024 9:34,329
790078,18036,13,Humedad,1/1/2024 9:48,79.3
790077,18001,1,Temperatura,1/1/2024 9:48,26.2
790089,18054,17,Radiacion solar,1/1/2024 9:49,229
790094,18036,13,Humedad,1/1/2024 10:03,76.5
790093,18001,1,Temperatura,1/1/2024 10:03,26.5
790105,18054,17,Radiacion solar,1/1/2024 10:04,183
790109,18001,1,Temperatura,1/1/2024 10:19,26.6
790110,18036,13,Humedad,1/1/2024 10:19,75.9
790121,18054,17,Radiacion solar,1/1/2024 10:19,228
790126,18036,13,Humedad,1/1/2024 10:33,75.3
790125,18001,1,Temperatura,1/1/2024 10:33,26.9
790137,18054,17,Radiacion solar,1/1/2024 10:34,309
790142,18036,13,Humedad,1/1/2024 10:48,75.6
790141,18001,1,Temperatura,1/1/2024 10:48,27
790153,18054,17,Radiacion solar,1/1/2024 10:49,377
790157,18001,1,Temperatura,1/1/2024 11:03,27.3
790158,18036,13,Humedad,1/1/2024 11:03,74.1
790169,18054,17,Radiacion solar,1/1/2024 11:04,428
790173,18001,1,Temperatura,1/1/2024 11:18,27.8
790174,18036,13,Humedad,1/1/2024 11:18,72.8
790185,18054,17,Radiacion solar,1/1/2024 11:19,425
790189,18001,1,Temperatura,1/1/2024 11:33,28.5
790190,18036,13,Humedad,1/1/2024 11:33,70.5
790201,18054,17,Radiacion solar,1/1/2024 11:34,725
790205,18001,1,Temperatura,1/1/2024 11:48,29.4
790206,18036,13,Humedad,1/1/2024 11:48,67.8
790217,18054,17,Radiacion solar,1/1/2024 11:49,936
790221,18001,1,Temperatura,1/1/2024 12:03,29.3
790222,18036,13,Humedad,1/1/2024 12:03,67.6
790233,18054,17,Radiacion solar,1/1/2024 12:04,793
790237,18001,1,Temperatura,1/1/2024 12:18,29.7
790238,18036,13,Humedad,1/1/2024 12:18,66.3
790249,18054,17,Radiacion solar,1/1/2024 12:19,907
790254,18036,13,Humedad,1/1/2024 12:33,65
790253,18001,1,Temperatura,1/1/2024 12:33,29.9
790265,18054,17,Radiacion solar,1/1/2024 12:34,566
790269,18001,1,Temperatura,1/1/2024 12:48,29.8
790270,18036,13,Humedad,1/1/2024 12:48,65.1
790281,18054,17,Radiacion solar,1/1/2024 12:49,416
790286,18036,13,Humedad,1/1/2024 13:03,64
790285,18001,1,Temperatura,1/1/2024 13:03,30.1
790297,18054,17,Radiacion solar,1/1/2024 13:04,417
790302,18036,13,Humedad,1/1/2024 13:18,63.3
790301,18001,1,Temperatura,1/1/2024 13:18,30.1
790313,18054,17,Radiacion solar,1/1/2024 13:19,228
790317,18001,1,Temperatura,1/1/2024 13:33,29.8
790318,18036,13,Humedad,1/1/2024 13:33,63.9
790329,18054,17,Radiacion solar,1/1/2024 13:34,278
790333,18001,1,Temperatura,1/1/2024 13:48,30
790334,18036,13,Humedad,1/1/2024 13:48,63.7
790345,18054,17,Radiacion solar,1/1/2024 13:49,277
790349,18001,1,Temperatura,1/1/2024 14:03,29.6
790350,18036,13,Humedad,1/1/2024 14:03,64.4
790361,18054,17,Radiacion solar,1/1/2024 14:04,247
790365,18001,1,Temperatura,1/1/2024 14:19,29.8
790366,18036,13,Humedad,1/1/2024 14:19,64.6
790377,18054,17,Radiacion solar,1/1/2024 14:19,264
790381,18001,1,Temperatura,1/1/2024 14:33,29.8
